country,avg_daily_social_media_min,avg_daily_tv_min,avg_daily_total_screen_min,year,source
España,98,172,420,2024,Reuters Institute Digital Report 2024
México,117,180,445,2024,Reuters Institute Digital Report 2024
Argentina,115,165,430,2024,Reuters Institute Digital Report 2024
Colombia,110,160,420,2024,Reuters Institute Digital Report 2024
Chile,105,155,410,2024,Reuters Institute Digital Report 2024
Alemania,72,158,350,2024,Reuters Institute Digital Report 2024
Francia,80,162,360,2024,Reuters Institute Digital Report 2024
Reino Unido,78,170,370,2024,Reuters Institute Digital Report 2024
Estados Unidos,95,175,400,2024,Reuters Institute Digital Report 2024
Japón,55,140,310,2024,Reuters Institute Digital Report 2024
España,92,178,400,2023,Reuters Institute Digital Report 2023
México,108,182,430,2023,Reuters Institute Digital Report 2023
Argentina,108,168,415,2023,Reuters Institute Digital Report 2023
Colombia,104,162,408,2023,Reuters Institute Digital Report 2023
Chile,100,158,400,2023,Reuters Institute Digital Report 2023
Alemania,68,160,340,2023,Reuters Institute Digital Report 2023
Francia,75,165,350,2023,Reuters Institute Digital Report 2023
Reino Unido,74,172,362,2023,Reuters Institute Digital Report 2023
Estados Unidos,90,178,390,2023,Reuters Institute Digital Report 2023
Japón,52,142,305,2023,Reuters Institute Digital Report 2023
España,80,182,385,2022,Reuters Institute Digital Report 2022
México,95,185,415,2022,Reuters Institute Digital Report 2022
Argentina,98,172,400,2022,Reuters Institute Digital Report 2022
Colombia,96,165,395,2022,Reuters Institute Digital Report 2022
Chile,90,160,390,2022,Reuters Institute Digital Report 2022
Alemania,62,162,330,2022,Reuters Institute Digital Report 2022
Francia,68,168,338,2022,Reuters Institute Digital Report 2022
Reino Unido,70,175,355,2022,Reuters Institute Digital Report 2022
Estados Unidos,85,180,380,2022,Reuters Institute Digital Report 2022
Japón,48,145,298,2022,Reuters Institute Digital Report 2022
España,60,188,362,2019,Reuters Institute Digital Report 2019
México,72,190,385,2019,Reuters Institute Digital Report 2019
Argentina,75,178,375,2019,Reuters Institute Digital Report 2019
Colombia,72,170,368,2019,Reuters Institute Digital Report 2019
Chile,70,165,365,2019,Reuters Institute Digital Report 2019
Alemania,50,165,310,2019,Reuters Institute Digital Report 2019
Francia,55,170,318,2019,Reuters Institute Digital Report 2019
Reino Unido,58,178,335,2019,Reuters Institute Digital Report 2019
Estados Unidos,72,185,360,2019,Reuters Institute Digital Report 2019
Japón,40,148,280,2019,Reuters Institute Digital Report 2019
