country,pct_reads_regularly,avg_books_per_year,avg_daily_reading_min,year,source
España,64.4,8.2,18,2024,FGEE Hábitos de Lectura y Compra de Libros 2024
México,55.3,5.3,14,2024,CANIEM / SEP Hábitos de Lectura 2024
Argentina,58.1,6.8,16,2024,CERLALC Indicadores de Lectura 2024
Colombia,52.7,4.9,13,2024,CERLALC Indicadores de Lectura 2024
Chile,57.0,5.7,15,2024,CERLALC Indicadores de Lectura 2024
Alemania,71.2,12.1,22,2024,Stiftung Lesen Lesemonitor 2024
Francia,68.5,10.4,20,2024,CNL Baromètre des Usages du Livre 2024
Reino Unido,73.1,13.0,24,2024,Books and Consumers UK 2024
Estados Unidos,75.0,12.6,17,2024,Pew Research Center Reading Habits 2024
Japón,79.4,14.2,26,2024,JPIC Reading Survey 2024
España,62.1,7.9,17,2023,FGEE Hábitos de Lectura y Compra de Libros 2023
México,53.8,5.1,13,2023,CANIEM / SEP Hábitos de Lectura 2023
Argentina,56.4,6.5,15,2023,CERLALC Indicadores de Lectura 2023
Colombia,51.2,4.7,12,2023,CERLALC Indicadores de Lectura 2023
Chile,55.5,5.4,14,2023,CERLALC Indicadores de Lectura 2023
Alemania,70.0,11.8,21,2023,Stiftung Lesen Lesemonitor 2023
Francia,67.2,10.1,19,2023,CNL Baromètre des Usages du Livre 2023
Reino Unido,71.8,12.7,23,2023,Books and Consumers UK 2023
Estados Unidos,73.5,12.2,16,2023,Pew Research Center Reading Habits 2023
Japón,78.1,13.9,25,2023,JPIC Reading Survey 2023
España,61.0,7.6,17,2022,FGEE Hábitos de Lectura y Compra de Libros 2022
México,52.5,4.9,12,2022,CANIEM / SEP Hábitos de Lectura 2022
Argentina,55.0,6.2,14,2022,CERLALC Indicadores de Lectura 2022
Colombia,50.0,4.5,11,2022,CERLALC Indicadores de Lectura 2022
Chile,54.0,5.1,13,2022,CERLALC Indicadores de Lectura 2022
Alemania,69.0,11.5,20,2022,Stiftung Lesen Lesemonitor 2022
Francia,66.0,9.8,18,2022,CNL Baromètre des Usages du Livre 2022
Reino Unido,70.5,12.4,22,2022,Books and Consumers UK 2022
Estados Unidos,72.0,11.9,15,2022,Pew Research Center Reading Habits 2022
Japón,77.0,13.6,24,2022,JPIC Reading Survey 2022
España,66.0,8.8,19,2019,FGEE Hábitos de Lectura y Compra de Libros 2019
México,57.0,5.8,15,2019,CANIEM / SEP Hábitos de Lectura 2019
Argentina,60.0,7.2,17,2019,CERLALC Indicadores de Lectura 2019
Colombia,54.0,5.2,14,2019,CERLALC Indicadores de Lectura 2019
Chile,59.0,6.0,16,2019,CERLALC Indicadores de Lectura 2019
Alemania,74.0,12.8,24,2019,Stiftung Lesen Lesemonitor 2019
Francia,71.0,11.0,22,2019,CNL Baromètre des Usages du Livre 2019
Reino Unido,76.0,13.5,26,2019,Books and Consumers UK 2019
Estados Unidos,78.0,13.2,18,2019,Pew Research Center Reading Habits 2019
Japón,82.0,15.0,28,2019,JPIC Reading Survey 2019
